source,target,size
129.168.9.248,105.137.85.192,82
98.109.119.248,128.41.120.149,1448
187.128.245.3,178.151.16.18,48180
178.151.197.194,195.80.48.91,1
35.226.135.109,128.41.233.242,37648
178.151.78.191,105.137.90.2,1
132.53.244.3,83.142.153.43,2920
40.46.94.104,178.151.78.191,32120
162.224.0.114,198.87.215.89,1380
169.14.65.85,145.30.203.180,12960
34.176.22.167,178.151.207.209,5496
5.136.105.106,132.165.30.48,7240
93.36.149.85,145.30.110.13,2920
98.64.137.106,178.151.16.138,2920
187.128.245.3,178.151.204.70,24948
142.64.223.124,128.41.187.209,11680
128.41.163.57,83.142.158.239,21900
178.151.158.236,1.10.212.253,14400
101.235.202.200,178.151.207.99,1374
198.87.215.89,198.86.6.205,5472
101.197.60.241,198.89.167.112,1460
198.89.21.20,124.201.89.177,1460
128.41.233.242,40.153.4.21,1460
178.151.158.236,109.214.100.16,5704
36.122.96.48,199.16.202.129,165072
30.140.48.67,132.165.91.180,9520
199.16.193.196,211.8.194.102,9608
205.28.32.243,128.41.51.74,42725440
88.184.36.225,132.37.171.68,369380
178.151.207.12,36.241.25.69,1
203.46.27.253,128.41.120.162,5840
88.184.36.145,132.53.93.93,26960
35.226.135.22,128.41.183.16,429240
203.118.74.6,132.53.224.82,230232
203.118.74.117,128.41.157.200,68056
198.87.215.89,83.142.156.62,2722
132.165.90.220,34.176.24.206,2748
205.145.143.151,132.37.171.70,2173940
199.16.200.96,92.45.159.120,165600
170.200.126.157,178.151.83.101,5012
220.19.171.129,132.165.91.180,207900
132.34.108.116,105.137.85.132,1
36.241.28.39,128.41.20.12,1374
187.128.245.3,178.151.248.19,1460
198.86.74.183,178.151.204.165,170376
98.82.71.113,132.165.96.163,1386
40.46.92.248,132.165.100.19,2920
199.16.193.196,88.211.64.116,23256
212.103.146.150,145.30.110.162,7300
199.16.200.67,9.30.167.196,4344
55.245.54.41,178.151.204.149,1386
128.41.164.99,44.11.113.43,298
98.82.71.120,178.151.88.78,64240
194.176.74.7,128.41.201.137,40544
56.200.91.218,199.16.201.225,536
132.53.224.35,212.214.7.158,18980
58.195.29.1,132.165.85.91,14480
178.151.105.190,88.209.23.162,11520
178.151.157.90,211.119.19.71,8586
178.151.157.89,209.136.10.74,1440
145.24.150.241,178.151.17.152,1440
101.235.204.40,199.16.202.129,1448
132.34.200.250,105.137.85.146,1
132.165.16.155,85.129.82.58,3136368
199.85.58.197,178.151.105.190,81763
222.170.164.98,178.151.215.214,1460
98.64.140.7,178.151.84.131,348940
101.232.169.114,198.89.165.219,8160
92.136.238.61,145.30.110.13,1460
132.165.123.180,1.10.200.72,2880
132.227.144.171,132.165.68.177,35280
15.194.175.173,132.53.169.50,1448
101.228.35.146,199.16.199.42,5840
187.128.245.3,198.87.201.10,55480
83.147.109.64,132.140.46.70,2896
132.53.224.35,9.45.26.231,53576
178.151.19.17,187.128.245.3,4380
198.89.171.238,187.128.246.83,1448
128.41.157.91,181.100.147.179,91080
40.46.95.96,178.151.75.219,7240
199.16.193.196,211.66.20.39,77176
170.200.126.138,128.41.183.4,20440
202.9.85.123,145.30.28.64,32120
194.199.144.84,132.53.93.228,6800
187.128.245.3,178.151.83.101,1460
128.41.68.231,105.137.88.218,1
98.82.71.120,178.151.81.185,99280
101.235.204.141,198.87.249.57,2024
132.165.83.172,171.155.199.8,1
132.165.19.223,34.110.233.240,5840
15.194.175.173,128.41.143.94,21900
178.151.88.133,198.86.6.205,4164
36.241.25.69,128.41.168.13,2896
212.103.146.168,145.30.110.162,10220
199.16.200.67,14.200.240.181,1448
128.41.233.242,83.188.65.7,1
199.16.200.67,171.38.236.165,90520
56.47.140.42,199.16.193.196,4225264
101.240.93.50,198.89.184.240,184170
132.53.211.56,15.165.161.107,10080
98.74.27.50,178.151.207.16,1374
199.16.194.91,36.115.99.136,4344
11.188.10.192,145.30.110.13,1188
40.46.92.198,198.87.215.89,12408
178.151.64.4,198.86.6.205,2776
98.74.25.203,178.151.230.67,11680
88.108.87.220,199.16.201.237,11680
98.104.40.187,178.151.165.8,30660
128.41.49.100,192.69.246.111,1
40.46.95.88,178.151.16.38,2896
98.109.119.248,128.41.143.94,5840
199.16.193.196,0.174.96.151,1448
199.42.180.13,128.41.226.68,11680
36.241.24.160,198.87.215.89,4140
30.65.23.135,132.165.90.147,2772
128.41.165.170,83.142.158.203,5840
40.46.92.140,199.16.194.162,4344
98.99.76.14,199.16.199.42,52128
35.226.135.129,198.89.178.179,760660
91.143.141.30,178.151.73.1,2920
34.176.24.206,132.165.82.77,4344
5.147.226.105,145.30.201.40,1460
27.59.105.247,199.16.202.160,1388
153.83.88.88,128.41.18.152,44946
199.16.201.224,184.7.208.98,2920
91.193.35.54,128.41.20.14,1448
91.143.135.91,178.151.73.1,105120
15.194.175.173,178.151.58.160,1460
178.151.86.93,24.165.84.228,5840
187.128.245.3,178.151.205.48,1374
199.16.193.196,13.175.248.249,1440
142.64.145.191,199.16.199.42,5792
206.178.225.39,128.41.125.126,2166208
24.164.40.209,178.151.86.26,2920
170.200.126.128,132.53.232.193,10136
170.200.126.157,128.41.165.228,5792
132.165.82.217,193.219.71.132,267
132.53.61.105,145.24.170.22,13032
128.41.54.189,105.137.88.199,1
128.41.233.242,184.2.29.158,1460
128.41.68.31,205.194.179.224,73000
128.41.45.117,36.241.30.210,8688
34.176.22.167,198.87.215.89,2736
88.9.225.128,145.30.202.8,5792
169.177.252.51,145.30.110.13,24684
128.41.18.112,83.185.16.141,8050880
128.41.66.32,83.142.158.192,2
198.86.169.165,178.151.86.111,2800
34.176.24.206,132.165.91.20,15114
128.41.252.18,45.162.86.73,2406080
223.12.33.64,178.151.38.99,21760
